epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3578,1.56983,3.25481,1.49809,0.51465,0.22973,0.25938,0.12648,1.80483,2.222,1.66668,0.00023654,0.00023654,0.00023654
2,40.2603,1.41457,1.97343,1.40825,0.51458,0.38627,0.38949,0.17132,1.93803,1.81715,1.6942,0.00045888,0.00045888,0.00045888
3,56.6273,1.33754,1.68248,1.36464,0.5754,0.42652,0.43703,0.18428,1.91159,1.67188,1.70602,0.000665512,0.000665512,0.000665512
4,72.9037,1.29657,1.5791,1.34042,0.54412,0.45811,0.46427,0.21249,1.78687,1.56337,1.61399,0.000643314,0.000643314,0.000643314
5,89.5679,1.25634,1.47295,1.31355,0.63919,0.47003,0.48259,0.23499,1.78247,1.44355,1.56446,0.000619752,0.000619752,0.000619752
6,106.328,1.23571,1.43765,1.29661,0.63132,0.48394,0.49952,0.24189,1.77989,1.4425,1.57323,0.00059619,0.00059619,0.00059619
7,122.917,1.20177,1.37713,1.27392,0.67786,0.44917,0.51048,0.23216,1.87889,1.38983,1.65386,0.000572628,0.000572628,0.000572628
8,139.317,1.17987,1.33925,1.26824,0.69923,0.51321,0.54181,0.27361,1.67608,1.28851,1.52561,0.000549066,0.000549066,0.000549066
9,156.884,1.16509,1.301,1.25437,0.72952,0.5011,0.54915,0.26447,1.77686,1.36144,1.60997,0.000525504,0.000525504,0.000525504
10,174.649,1.15768,1.28168,1.25059,0.71758,0.5005,0.54296,0.26125,1.79989,1.33212,1.62714,0.000501942,0.000501942,0.000501942
11,192.413,1.13847,1.26854,1.23868,0.78487,0.52037,0.59615,0.30363,1.69821,1.24057,1.54028,0.00047838,0.00047838,0.00047838
12,209.057,1.1297,1.23403,1.2278,0.72269,0.55732,0.59175,0.28261,1.7614,1.25982,1.55857,0.000454818,0.000454818,0.000454818
13,225.423,1.12134,1.20096,1.22155,0.76972,0.50903,0.58355,0.28599,1.7438,1.2433,1.54138,0.000431256,0.000431256,0.000431256
14,242.087,1.11631,1.19218,1.21462,0.7878,0.53565,0.60527,0.31866,1.6447,1.14723,1.51245,0.000407694,0.000407694,0.000407694
15,258.733,1.09727,1.16474,1.20594,0.814,0.53851,0.61134,0.30542,1.67766,1.12358,1.48944,0.000384132,0.000384132,0.000384132
16,274.989,1.08502,1.1483,1.19856,0.75085,0.56959,0.6074,0.30583,1.71483,1.14485,1.51685,0.00036057,0.00036057,0.00036057
17,291.591,1.07924,1.12618,1.19641,0.73908,0.57174,0.6146,0.30306,1.72452,1.11968,1.52376,0.000337008,0.000337008,0.000337008
18,309.107,1.06924,1.10214,1.19304,0.79108,0.5518,0.61201,0.30401,1.68177,1.11309,1.50117,0.000313446,0.000313446,0.000313446
19,325.743,1.06683,1.09587,1.18456,0.7979,0.58223,0.63693,0.33436,1.629,1.07369,1.44016,0.000289884,0.000289884,0.000289884
20,342.359,1.05581,1.07776,1.18309,0.79185,0.57894,0.63222,0.322,1.67047,1.08419,1.49821,0.000266322,0.000266322,0.000266322
