Project ID,City,Project Type,Project Size (sq. m),Start Date,End Date,Labor Count,Equipment Count,Avg Temperature (°C),Rainfall (mm),Milestone,External Factor,Delayed,Delay Duration (days),Delay Reason
PRJ-00001,Bangalore,Residential,45073,2015-11-11,2017-07-07,1212,50,19.63438366477648,151.01113237076257,Inspection,Land dispute,False,0,No Delay
PRJ-00002,Mumbai,Railway,38851,2021-05-12,2022-05-13,868,48,23.18134502416252,207.55237686308732,Inspection,Funding issues,True,256,Design change
PRJ-00003,Ahmedabad,Bridge,56770,2020-04-09,2023-05-15,1567,8,18.67819075227627,181.11927913577668,Inspection,None,False,0,No Delay
PRJ-00004,Hyderabad,Bridge,5595,2018-10-25,2022-03-24,1820,21,28.388105943199225,242.2283592546356,Structural Completion,None,False,0,No Delay
PRJ-00005,Hyderabad,Bridge,12682,2017-11-07,2021-05-19,847,25,39.001207195597786,499.8760782306241,Roofing,Funding issues,False,0,No Delay
PRJ-00006,Ahmedabad,Railway,5880,2022-10-28,2025-12-11,1086,22,22.502300276838437,256.5807025908133,Roofing,None,False,0,No Delay
PRJ-00007,Delhi,Highway,6918,2020-06-27,2023-08-21,728,48,23.844641377920752,366.96956270523765,Structural Completion,None,True,46,Design change
PRJ-00008,Pune,Industrial,29416,2019-06-29,2023-04-05,1120,34,40.117709163447564,139.30577711128845,Foundation,Land dispute,False,0,No Delay
PRJ-00009,Delhi,Railway,52730,2018-09-19,2021-01-22,563,30,42.30452159863682,96.1472668624126,Finishing,Environmental clearance delay,True,300,Monsoon rains
PRJ-00010,Mumbai,Metro,65027,2022-06-26,2024-03-15,287,13,25.81311295832322,205.36944831267644,Inspection,Funding issues,False,0,No Delay
PRJ-00011,Ahmedabad,Airport,55317,2018-12-17,2020-01-19,1941,22,40.56776157651155,78.47403909927469,Finishing,None,True,43,Monsoon rains
PRJ-00012,Mumbai,Highway,68367,2024-03-30,2027-10-26,226,11,34.52199931701935,158.88425102043846,Foundation,None,True,43,Equipment failure
PRJ-00013,Hyderabad,Commercial,16579,2024-11-26,2028-04-27,268,50,41.35456752413854,242.2457556812822,Inspection,Funding issues,True,347,Design change
PRJ-00014,Chennai,Residential,34137,2018-09-12,2020-08-28,1807,22,17.19370308306677,255.39301474671277,Roofing,None,True,142,Monsoon rains
PRJ-00015,Bangalore,Industrial,97376,2015-06-27,2016-01-20,1180,20,34.67225144106618,24.506465431861024,Inspection,Land dispute,False,0,No Delay
PRJ-00016,Delhi,Commercial,29893,2022-03-28,2024-09-05,548,40,15.20796109591122,202.3037241723827,Finishing,None,True,171,Regulatory approval delay
PRJ-00017,Delhi,Railway,37244,2015-04-17,2017-01-15,176,10,40.942895579690486,295.4402044339763,Finishing,Land dispute,False,0,No Delay
PRJ-00018,Hyderabad,Metro,29315,2023-09-01,2026-11-27,1125,26,35.092145313015486,241.71933331288903,Finishing,Land dispute,True,196,Labor strike
PRJ-00019,Pune,Airport,97314,2021-05-24,2022-07-20,422,7,37.802132510533326,89.27696190027306,Finishing,None,True,358,Monsoon rains
PRJ-00020,Hyderabad,Highway,38761,2021-09-10,2022-06-18,1022,49,26.55391432141593,14.602191146803722,Foundation,Environmental clearance delay,True,15,Financial issues
PRJ-00021,Kolkata,Metro,97967,2016-01-18,2016-11-10,1585,45,22.539925242533155,348.3150697547921,Structural Completion,Funding issues,False,0,No Delay
PRJ-00022,Hyderabad,Airport,95485,2017-12-12,2021-07-13,1700,13,32.32098098540423,413.332259528207,Inspection,None,True,37,Design change
PRJ-00023,Mumbai,Metro,29075,2018-09-23,2020-01-27,997,21,43.172950647150174,374.2019495845616,Handover,None,True,257,Site condition issues
PRJ-00024,Kolkata,Airport,10507,2024-02-04,2027-04-08,1743,37,41.31763354364428,329.0420466935927,Finishing,Funding issues,False,0,No Delay
PRJ-00025,Chennai,Railway,55375,2015-02-19,2016-09-22,90,29,22.85871662256907,256.0137584506352,Handover,Land dispute,False,0,No Delay
PRJ-00026,Delhi,Residential,75135,2017-02-05,2020-02-25,809,12,41.89589740151438,330.9720870015938,Handover,Land dispute,True,102,Design change
PRJ-00027,Ahmedabad,Highway,88510,2016-10-12,2017-12-30,205,33,26.854102470708458,104.59009383721974,Finishing,Land dispute,True,166,Design change
PRJ-00028,Pune,Metro,70322,2022-01-03,2025-03-29,254,15,31.600337685052892,291.26810940224067,Foundation,Environmental clearance delay,False,0,No Delay
PRJ-00029,Delhi,Industrial,3528,2023-09-30,2027-04-14,1686,10,16.547329352941865,45.151713787207,Foundation,Funding issues,False,0,No Delay
