epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2114,1.49035,3.02968,1.48457,0.36399,0.30821,0.27393,0.13096,1.80301,2.15627,1.69841,0.00023654,0.00023654,0.00023654
2,49.0987,1.35479,1.86444,1.41502,0.60557,0.38733,0.43833,0.19538,1.92809,1.7975,1.74242,0.000465144,0.000465144,0.000465144
3,72.7247,1.29243,1.64716,1.36638,0.54218,0.48062,0.48094,0.21284,1.88942,1.70908,1.76224,0.000684323,0.000684323,0.000684323
4,94.2763,1.26425,1.55635,1.34164,0.69175,0.48592,0.52812,0.2376,1.85653,1.52243,1.69914,0.000671588,0.000671588,0.000671588
5,115.667,1.22936,1.46124,1.31151,0.71715,0.47259,0.54023,0.25716,1.81726,1.48095,1.70511,0.000657451,0.000657451,0.000657451
6,136.52,1.20565,1.41675,1.29629,0.65077,0.52066,0.54542,0.25414,1.82872,1.44514,1.67624,0.000643314,0.000643314,0.000643314
7,157.499,1.17939,1.3649,1.27835,0.68581,0.52461,0.56974,0.26676,1.84762,1.44258,1.65668,0.000629177,0.000629177,0.000629177
8,178.491,1.15605,1.31291,1.26584,0.73426,0.50373,0.57723,0.2786,1.83489,1.36559,1.64965,0.00061504,0.00061504,0.00061504
9,199.901,1.15155,1.29315,1.25256,0.72409,0.56736,0.60348,0.30838,1.73752,1.33569,1.60813,0.000600902,0.000600902,0.000600902
10,221.002,1.14025,1.24973,1.24831,0.73071,0.57637,0.60979,0.30781,1.70994,1.31039,1.56352,0.000586765,0.000586765,0.000586765
11,241.981,1.12006,1.23872,1.23727,0.75595,0.56261,0.61329,0.28926,1.79297,1.32535,1.62847,0.000572628,0.000572628,0.000572628
12,263.418,1.11398,1.21174,1.22815,0.70718,0.58632,0.62869,0.31897,1.72142,1.24987,1.57674,0.000558491,0.000558491,0.000558491
13,285.138,1.10486,1.18076,1.22097,0.79227,0.58314,0.64481,0.31304,1.78821,1.23476,1.59793,0.000544354,0.000544354,0.000544354
14,307.444,1.1061,1.17407,1.21892,0.7513,0.60925,0.64695,0.32901,1.65952,1.18863,1.51388,0.000530216,0.000530216,0.000530216
15,329.601,1.07854,1.13592,1.20112,0.76981,0.60454,0.64914,0.33558,1.69529,1.17495,1.51597,0.000516079,0.000516079,0.000516079
16,351.463,1.07065,1.12523,1.19735,0.82663,0.58074,0.64155,0.33363,1.68359,1.15823,1.51056,0.000501942,0.000501942,0.000501942
17,373.73,1.06808,1.10453,1.19397,0.76375,0.57116,0.65037,0.34449,1.62932,1.13961,1.49213,0.000487805,0.000487805,0.000487805
18,394.928,1.0581,1.09332,1.19317,0.78491,0.58931,0.64999,0.33955,1.63416,1.15081,1.4948,0.000473668,0.000473668,0.000473668
19,416.308,1.05448,1.07258,1.18286,0.78907,0.5962,0.65269,0.34674,1.64492,1.18921,1.5016,0.00045953,0.00045953,0.00045953
20,437.883,1.04683,1.06264,1.18505,0.75209,0.61684,0.6541,0.33528,1.66252,1.12875,1.51759,0.000445393,0.000445393,0.000445393
21,459.264,1.03542,1.05006,1.1735,0.79879,0.6259,0.68328,0.363,1.61105,1.05213,1.4757,0.000431256,0.000431256,0.000431256
22,480.848,1.02683,1.03079,1.17009,0.81306,0.60958,0.685,0.37288,1.57039,1.05497,1.44037,0.000417119,0.000417119,0.000417119
23,503.656,1.02652,1.01308,1.16876,0.80564,0.62767,0.68359,0.38374,1.55177,1.02305,1.42903,0.000402982,0.000402982,0.000402982
24,526.126,1.01361,1.01059,1.16143,0.80069,0.62567,0.67687,0.37089,1.5774,1.02684,1.43633,0.000388844,0.000388844,0.000388844
25,548.487,1.002,0.99206,1.15495,0.81387,0.62774,0.69375,0.35745,1.62259,0.99735,1.45861,0.000374707,0.000374707,0.000374707
26,570.403,0.98965,0.97397,1.15107,0.84638,0.61043,0.68843,0.36068,1.64654,0.98281,1.46705,0.00036057,0.00036057,0.00036057
27,592.399,0.99534,0.96527,1.14969,0.83599,0.59839,0.68472,0.35888,1.62992,1.0199,1.46722,0.000346433,0.000346433,0.000346433
28,614.073,0.99072,0.95704,1.14252,0.84491,0.63279,0.69312,0.3922,1.55514,0.96681,1.41746,0.000332296,0.000332296,0.000332296
29,636.124,0.98996,0.95083,1.1453,0.80014,0.6488,0.7008,0.39214,1.55145,0.98158,1.4187,0.000318158,0.000318158,0.000318158
30,657.367,0.97962,0.93385,1.13822,0.85637,0.6289,0.70214,0.37296,1.62274,0.95819,1.4711,0.000304021,0.000304021,0.000304021
31,678.959,0.96716,0.92474,1.13563,0.87894,0.6158,0.70593,0.39264,1.56712,0.9549,1.44541,0.000289884,0.000289884,0.000289884
32,700.876,0.97368,0.91635,1.13293,0.84256,0.65348,0.71951,0.41479,1.47731,0.93783,1.37212,0.000275747,0.000275747,0.000275747
33,722.321,0.95787,0.90551,1.12735,0.81812,0.66362,0.72414,0.39954,1.56215,0.91293,1.42502,0.00026161,0.00026161,0.00026161
34,744.037,0.95463,0.89524,1.12222,0.8561,0.63008,0.71629,0.42533,1.43567,0.90746,1.34958,0.000247472,0.000247472,0.000247472
35,765.703,0.95117,0.89445,1.12139,0.86085,0.63814,0.71508,0.42658,1.38099,0.8994,1.3149,0.000233335,0.000233335,0.000233335
36,787.206,0.94495,0.8896,1.11921,0.83536,0.66302,0.72259,0.40871,1.5242,0.90415,1.39791,0.000219198,0.000219198,0.000219198
37,808.704,0.93784,0.87585,1.11331,0.89501,0.6309,0.72234,0.4246,1.44192,0.90013,1.34637,0.000205061,0.000205061,0.000205061
38,829.295,0.93317,0.86635,1.11044,0.87315,0.65126,0.73391,0.42412,1.45383,0.87639,1.34088,0.000190924,0.000190924,0.000190924
39,849.674,0.91807,0.84874,1.10684,0.82194,0.67587,0.72976,0.4144,1.50675,0.88587,1.38492,0.000176786,0.000176786,0.000176786
40,869.884,0.92963,0.85299,1.11066,0.84066,0.67623,0.73548,0.43719,1.41236,0.86721,1.31928,0.000162649,0.000162649,0.000162649
