Project ID,City,Tunnel Length (km),Num of Stations,Num of Workers,Equipment Factor (%),Signal System Complexity (%),Material Factor (%),Gov Regulation Factor (%),Urban Congestion Impact (%),Expected Completion Time (months),Budget (in Crores),Delay time (days),Risk Level
METRO-0001,Hyderabad,19.69,63,2200,53,57,22,55,86,57,4997.0,364,Medium
METRO-0002,Chennai,18.45,49,2363,44,58,81,14,98,98,3247.16,88,Medium
METRO-0003,Bangalore,19.24,46,813,2,27,18,96,80,79,1369.54,146,Medium
METRO-0004,Chennai,16.6,25,2185,75,84,26,23,8,82,2744.91,17,Medium
METRO-0005,Chennai,31.44,7,1551,35,54,17,54,44,46,3557.17,109,Medium
METRO-0006,Mumbai,9.05,70,1497,10,50,53,23,12,78,1123.59,209,Low
METRO-0007,Bangalore,42.45,15,4995,72,35,16,18,84,48,4895.22,364,Medium
METRO-0008,Bangalore,40.81,28,524,5,67,54,86,48,99,4807.88,197,Medium
METRO-0009,Bangalore,24.35,54,1128,75,42,89,27,59,110,2776.74,250,Medium
METRO-0010,Chennai,42.78,92,790,40,5,29,67,22,65,4171.89,328,Low
METRO-0011,Hyderabad,13.11,25,4110,71,82,97,47,34,108,4957.12,265,Medium
METRO-0012,Bangalore,1.86,29,3679,40,50,79,88,43,32,3509.26,286,Medium
METRO-0013,Kolkata,31.34,8,2927,76,52,52,78,27,64,3144.73,54,Medium
METRO-0014,Chennai,23.44,47,3624,61,10,80,68,9,37,3237.93,1,Medium
METRO-0015,Mumbai,28.79,51,299,8,49,9,49,84,85,2897.39,55,Low
METRO-0016,Hyderabad,45.07,27,875,83,16,93,65,63,114,4572.07,30,Medium
METRO-0017,Kolkata,48.53,64,325,9,45,29,84,3,32,1123.31,147,Low
METRO-0018,Kolkata,32.09,92,4666,40,81,25,75,32,114,2665.99,306,Medium
METRO-0019,Mumbai,38.44,25,2165,26,45,70,51,73,97,567.92,250,Medium
METRO-0020,Hyderabad,5.11,70,1878,52,76,68,75,59,91,4508.95,117,Medium
METRO-0021,Chennai,8.88,91,728,3,40,20,72,25,89,1907.96,294,Low
METRO-0022,Delhi,36.93,55,2157,9,50,55,4,92,63,2627.98,364,Low
METRO-0023,Hyderabad,22.14,19,140,48,10,7,17,58,47,3374.55,358,Low
METRO-0024,Mumbai,22.85,62,2191,18,50,28,64,17,81,1047.45,294,Low
METRO-0025,Kolkata,16.12,30,2344,73,26,31,28,77,97,3884.79,81,Medium
METRO-0026,Chennai,30.76,94,398,49,48,63,53,23,75,2784.18,186,Medium
METRO-0027,Hyderabad,10.07,96,4404,47,15,87,39,97,79,799.16,296,Medium
METRO-0028,Delhi,31.72,63,558,22,49,43,34,54,77,1184.07,190,Low
METRO-0029,Delhi,9.52,94,978,99,14,66,83,41,45,3169.56,66,Medium
METRO-0030,Bangalore,4.13,49,1910,8,53,55,19,92,106,2444.1,17,Medium
METRO-0031,Bangalore,17.19,70,888,65,13,96,94,97,28,4591.04,251,High
METRO-0032,Mumbai,12.33,39,3995,18,78,67,59,51,87,3493.08,363,Medium
METRO-0033,Hyderabad,44.56,98,482,71,81,10,58,62,52,3177.57,241,Medium
METRO-0034,Hyderabad,3.69,68,1550,89,75,91,85,71,119,3758.29,192,High
METRO-0035,Kolkata,9.65,88,3515,50,25,36,11,94,80,2812.7,208,Low
METRO-0036,Kolkata,27.89,81,2695,99,39,7,69,36,84,2664.07,98,Medium
METRO-0037,Kolkata,24.57,31,4702,10,17,57,66,55,39,4904.04,141,Medium
METRO-0038,Bangalore,3.25,91,3689,2,25,1,37,34,90,4546.55,301,Low
METRO-0039,Hyderabad,1.36,84,429,60,17,5,53,25,63,1304.24,1,Low
METRO-0040,Hyderabad,49.42,35,3154,93,0,31,94,38,98,1416.77,355,Medium
METRO-0041,Delhi,33.28,16,2635,81,15,99,35,71,63,1690.5,361,Medium
METRO-0042,Bangalore,18.9,49,1119,16,20,18,57,33,96,3786.31,341,Low
METRO-0043,Chennai,24.05,36,3608,72,71,17,19,41,115,4711.49,236,Medium
METRO-0044,Bangalore,14.06,58,3921,29,65,98,38,31,116,1064.1,28,Medium
METRO-0045,Chennai,17.9,70,4629,79,82,88,65,87,52,4977.68,244,High
METRO-0046,Delhi,32.8,91,1927,7,92,39,93,72,60,1958.71,358,Medium
METRO-0047,Mumbai,44.26,36,4211,40,93,59,79,17,59,2048.21,35,Medium
METRO-0048,Hyderabad,10.02,19,719,25,2,39,97,61,103,2899.86,234,Medium
METRO-0049,Delhi,42.18,59,788,4,7,80,45,77,57,934.74,352,Medium
METRO-0050,Hyderabad,6.96,45,2212,68,98,65,24,18,60,4654.48,204,Medium
METRO-0051,Kolkata,11.53,44,4770,23,17,21,60,97,72,587.3,247,Medium
METRO-0052,Mumbai,2.82,76,919,77,89,36,63,84,52,531.79,134,Medium
METRO-0053,Mumbai,7.9,53,2351,68,24,32,19,40,110,4867.31,237,Low
METRO-0054,Delhi,45.95,90,2401,35,71,19,66,74,76,2308.39,224,Medium
METRO-0055,Mumbai,23.51,42,3743,88,17,39,43,13,69,1615.32,261,Medium
METRO-0056,Chennai,4.81,60,2760,16,23,11,80,52,110,1743.28,92,Low
METRO-0057,Mumbai,48.03,38,2342,69,68,48,80,58,65,2721.22,115,Medium
METRO-0058,Hyderabad,44.07,5,2398,70,25,33,55,10,59,4526.46,208,Medium
METRO-0059,Hyderabad,37.98,14,3654,45,73,98,63,34,100,3861.12,38,Medium
METRO-0060,Hyderabad,46.74,44,1054,78,10,52,55,99,38,1279.52,335,Medium
METRO-0061,Hyderabad,11.79,20,4041,69,3,59,48,36,50,2039.8,59,Medium
METRO-0062,Chennai,41.98,92,4848,31,9,65,36,86,29,2409.17,333,Medium
METRO-0063,Bangalore,34.81,50,4470,59,11,27,21,74,88,4950.89,66,Low
METRO-0064,Kolkata,43.62,28,1347,41,73,82,93,76,88,4005.44,5,High
METRO-0065,Delhi,40.05,18,4734,39,11,55,38,55,26,2705.33,2,Low
METRO-0066,Hyderabad,17.98,94,1373,26,4,51,61,8,95,1613.71,233,Low
METRO-0067,Mumbai,38.95,43,112,4,90,10,57,6,73,1202.66,232,Low
METRO-0068,Hyderabad,13.86,22,4805,60,96,42,88,69,80,1270.26,286,High
METRO-0069,Mumbai,17.1,88,2339,60,95,47,66,6,118,1998.86,59,Medium
METRO-0070,Kolkata,6.29,45,797,79,4,57,82,10,55,2874.31,28,Medium
METRO-0071,Kolkata,46.82,60,2166,51,22,56,71,76,75,1267.5,213,Medium
METRO-0072,Kolkata,15.26,40,2486,74,55,13,17,94,82,3807.7,320,Medium
METRO-0073,Mumbai,26.51,28,4774,88,87,87,73,64,114,4709.87,142,High
METRO-0074,Hyderabad,20.18,94,2173,65,45,53,37,93,39,2873.06,297,Medium
METRO-0075,Kolkata,48.04,33,3177,91,1,1,20,67,74,2144.12,218,Low
METRO-0076,Chennai,17.42,26,3312,6,93,41,97,68,71,3645.33,76,Medium
METRO-0077,Mumbai,39.15,15,3913,37,73,6,81,20,103,3607.5,74,Medium
METRO-0078,Mumbai,42.92,45,1150,50,0,8,33,87,63,4172.74,329,Low
