epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.07,1.77661,2.70653,1.18896,0.61577,0.22332,0.23538,0.15632,1.60194,1.67058,0.95512,0.00018497,0.00018497,0.00018497
2,277.672,1.42372,1.41319,1.05489,0.46304,0.33837,0.33719,0.21884,1.38858,1.39226,0.89843,0.000351973,0.000351973,0.000351973
3,363.259,1.32093,1.23112,1.02471,0.48033,0.39239,0.38996,0.24733,1.35187,1.25049,0.89435,0.000500629,0.000500629,0.000500629
4,449.899,1.27279,1.14312,1.00978,0.50277,0.4528,0.44905,0.27834,1.27639,1.11493,0.89065,0.000473434,0.000473434,0.000473434
5,535.79,1.23169,1.07134,0.99863,0.56851,0.44463,0.46317,0.29267,1.27385,1.11008,0.88514,0.000445912,0.000445912,0.000445912
6,621.925,1.2039,1.0197,0.991,0.58336,0.46692,0.50572,0.32436,1.21602,1.03457,0.87175,0.00041839,0.00041839,0.00041839
7,707.373,1.17863,0.9846,0.98239,0.59295,0.51825,0.53281,0.33987,1.20148,0.97853,0.86308,0.000390868,0.000390868,0.000390868
8,793.784,1.16489,0.95877,0.97809,0.57636,0.52113,0.54023,0.34981,1.1717,0.97399,0.86657,0.000363346,0.000363346,0.000363346
9,880.524,1.15132,0.93315,0.97294,0.59955,0.53358,0.55223,0.3561,1.16487,0.96837,0.86659,0.000335824,0.000335824,0.000335824
10,967.141,1.12943,0.91059,0.96911,0.62801,0.52886,0.55754,0.36537,1.14212,0.93135,0.85764,0.000308302,0.000308302,0.000308302
11,1169.74,1.18928,0.94632,0.97246,0.64107,0.52317,0.5549,0.36137,1.1517,0.92364,0.85617,0.00028078,0.00028078,0.00028078
12,1273.95,1.16473,0.90963,0.96368,0.65349,0.54283,0.57183,0.37151,1.1291,0.92041,0.85038,0.000253258,0.000253258,0.000253258
13,1344.29,1.14337,0.88341,0.95739,0.68649,0.55697,0.59041,0.38947,1.11249,0.88138,0.84938,0.000225736,0.000225736,0.000225736
14,1413.01,1.1254,0.86413,0.95448,0.69649,0.55795,0.59482,0.39324,1.10616,0.86685,0.84647,0.000198214,0.000198214,0.000198214
15,1481.61,1.11951,0.84949,0.94857,0.70354,0.56757,0.60504,0.39983,1.0817,0.84669,0.84187,0.000170692,0.000170692,0.000170692
16,1551.9,1.09919,0.82894,0.94337,0.71232,0.568,0.61343,0.4088,1.07749,0.84191,0.8456,0.00014317,0.00014317,0.00014317
17,1683.3,1.09396,0.82251,0.94335,0.70258,0.57829,0.61695,0.41298,1.06754,0.83704,0.84093,0.000115648,0.000115648,0.000115648
18,1774.41,1.08373,0.8088,0.93977,0.70696,0.58119,0.61646,0.40929,1.06393,0.82745,0.84067,8.8126e-05,8.8126e-05,8.8126e-05
19,1851.7,1.07369,0.79659,0.93713,0.71939,0.57547,0.6209,0.41494,1.06074,0.82531,0.83961,6.0604e-05,6.0604e-05,6.0604e-05
20,1927.14,1.06468,0.79036,0.93479,0.7187,0.57595,0.62145,0.41869,1.05175,0.81962,0.83878,3.3082e-05,3.3082e-05,3.3082e-05
