Supplier_ID,Supplier_Name,Location,Material_Type,Lead_Time (days),Historical_Delay (days),Quality_Rating (1-5),Avg_Cost_per_Unit (INR),Financial_Stability_Score,Past_Contract_Failures,Alternative_Suppliers,Climate_Risk,Delivery_Mode,Reliability_Score (0-1),Geo_Proximity (km),Inventory_Buffer_Level
S001,Supplier_1,Mumbai,Glass,25,2,4.8,3762,7.4,2,"S1808, S3454",Medium,Road,0.98,13,Low
S002,Supplier_2,Delhi,Concrete,18,8,4.2,5732,9.1,2,"S11522, S12216",High,Ship,0.79,62,Medium
S003,Supplier_3,Chennai,Bricks,23,0,4.7,4098,5.5,3,"S7262, S14826",High,Rail,0.96,33,Low
S004,Supplier_4,Chennai,Steel,17,4,4.3,5207,5.3,3,"S4426, S1349",Medium,Ship,0.81,19,High
S005,Supplier_5,Mumbai,Steel,29,0,4.2,8762,5.1,2,"S8340, S9295",Medium,Rail,0.97,99,Medium
S006,Supplier_6,Bangalore,Concrete,27,4,3.9,6684,5.8,2,"S12364, S5518",Medium,Air,0.71,82,Low
S007,Supplier_7,Kolkata,Concrete,17,4,4.4,8701,7.9,0,"S6348, S13793",High,Air,0.8,17,High
S008,Supplier_8,Hyderabad,Bricks,21,6,3.9,5733,6.7,0,"S10141, S9332",Low,Ship,0.94,42,High
S009,Supplier_9,Kolkata,Concrete,16,7,4.8,2235,9.0,2,"S609, S8041",High,Air,0.97,44,Low
S010,Supplier_10,Delhi,Wood,7,6,4.6,8679,5.0,0,"S3673, S12429",Medium,Air,0.86,53,High
S011,Supplier_11,Bangalore,Bricks,6,2,4.9,4902,9.4,2,"S4444, S6780",Medium,Ship,0.72,81,Medium
S012,Supplier_12,Chennai,Wood,11,3,3.8,2948,8.3,2,"S8036, S6017",High,Rail,0.89,34,Medium
S013,Supplier_13,Chennai,Steel,26,2,3.1,8473,8.8,3,"S6591, S12694",High,Rail,0.85,39,High
S014,Supplier_14,Delhi,Bricks,6,2,3.6,6722,7.0,0,"S12214, S11353",Low,Air,0.87,73,High
S015,Supplier_15,Kolkata,Bricks,27,0,4.4,3182,8.2,2,"S522, S2151",Medium,Road,0.99,23,Medium
S016,Supplier_16,Bangalore,Steel,10,8,4.7,8172,6.4,1,"S14540, S12153",High,Ship,0.71,76,Medium
S017,Supplier_17,Chennai,Steel,11,9,3.7,9804,5.7,0,"S10105, S7683",Medium,Air,1.0,37,Medium
S018,Supplier_18,Mumbai,Glass,15,0,4.0,9367,9.9,2,"S5588, S9992",Medium,Ship,0.96,22,Low
S019,Supplier_19,Chennai,Steel,14,5,3.5,2206,9.5,2,"S13505, S2569",Medium,Rail,0.99,77,Medium
S020,Supplier_20,Bangalore,Concrete,13,3,4.3,3593,6.6,2,"S3311, S8554",Low,Rail,0.76,57,Medium
S021,Supplier_21,Kolkata,Cement,8,9,4.9,9931,9.7,1,"S12717, S9820",Medium,Rail,0.99,53,High
S022,Supplier_22,Mumbai,Cement,17,2,3.7,7668,9.1,0,"S2969, S14318",Medium,Air,0.78,63,Medium
S023,Supplier_23,Chennai,Glass,16,9,4.4,4778,6.6,0,"S13053, S5316",Medium,Ship,0.77,88,Low
S024,Supplier_24,Delhi,Bricks,29,6,3.9,7826,7.4,0,"S8503, S6874",Medium,Air,0.7,51,Medium
S025,Supplier_25,Bangalore,Cement,26,4,4.6,5495,5.2,1,"S11987, S7003",High,Air,0.96,24,Medium
S026,Supplier_26,Mumbai,Glass,24,2,3.7,2425,9.4,2,"S7681, S13739",Low,Road,0.9,84,High
S027,Supplier_27,Hyderabad,Bricks,5,5,4.6,9458,5.8,3,"S4787, S6725",High,Air,0.89,33,High
S028,Supplier_28,Bangalore,Concrete,13,5,4.0,8446,5.2,1,"S3719, S14454",High,Road,0.74,37,Medium
S029,Supplier_29,Bangalore,Glass,11,9,4.7,3740,8.4,2,"S8996, S2867",Medium,Ship,0.89,37,High
S030,Supplier_30,Chennai,Steel,18,9,4.4,8068,6.4,0,"S4437, S3223",High,Air,0.93,56,High
S031,Supplier_31,Delhi,Concrete,25,5,3.5,4055,5.8,1,"S11788, S5936",Medium,Air,0.93,32,High
S032,Supplier_32,Delhi,Glass,25,4,4.7,7094,9.1,3,"S9654, S11994",High,Rail,0.73,24,High
