Construction Site,Supplier Name,Material Type,Location,Supplier Rating,Supply Capacity (tons/month),Average Delivery Time (days),Cost per Unit (INR),Workforce Allocation,Predicted Delay Reduction (days)
Site_1,Supplier_78,Bricks,Chennai,2,397,5,348.49,130,10
Site_2,Supplier_19,Steel,Mumbai,4,305,9,499.28,123,16
Site_3,Supplier_93,Sand,Mumbai,2,62,10,494.62,133,19
Site_4,Supplier_25,Bricks,Delhi,1,153,13,396.91,186,18
Site_5,Supplier_13,Concrete,Delhi,4,268,1,311.91,146,14
Site_6,Supplier_45,Sand,Mumbai,2,356,12,291.46,106,19
Site_7,Supplier_29,Steel,Chennai,2,296,13,248.92,151,12
Site_8,Supplier_35,Steel,Bangalore,4,428,3,151.61,141,15
Site_9,Supplier_61,Cement,Kolkata,2,425,4,334.23,141,4
Site_10,Supplier_87,Bricks,Chennai,4,397,3,297.81,111,0
Site_11,Supplier_9,Sand,Chennai,5,177,4,391.93,125,10
Site_12,Supplier_22,Concrete,Mumbai,3,431,14,228.64,125,2
Site_13,Supplier_91,Cement,Kolkata,2,341,4,418.03,20,4
Site_14,Supplier_70,Cement,Chennai,4,144,12,371.18,74,5
Site_15,Supplier_71,Cement,Bangalore,2,120,1,113.36,24,0
Site_16,Supplier_99,Bricks,Bangalore,1,488,11,333.35,143,15
Site_17,Supplier_16,Bricks,Chennai,2,349,4,116.49,31,2
Site_18,Supplier_79,Concrete,Kolkata,5,224,4,316.94,108,9
Site_19,Supplier_84,Steel,Mumbai,2,461,6,239.73,22,16
Site_20,Supplier_27,Concrete,Chennai,1,446,11,307.58,23,12
Site_21,Supplier_38,Bricks,Chennai,5,157,10,372.35,21,19
Site_22,Supplier_81,Bricks,Kolkata,3,400,9,489.09,135,15
Site_23,Supplier_85,Sand,Mumbai,4,367,5,206.32,85,18
Site_24,Supplier_78,Sand,Kolkata,2,250,3,206.31,116,3
Site_25,Supplier_5,Concrete,Delhi,1,358,5,292.96,65,12
Site_26,Supplier_72,Steel,Kolkata,1,78,6,469.1,165,9
Site_27,Supplier_43,Sand,Chennai,1,325,12,402.93,164,7
Site_28,Supplier_2,Sand,Chennai,1,463,14,465.29,31,13
Site_29,Supplier_86,Sand,Chennai,2,302,3,396.51,72,1
Site_30,Supplier_62,Concrete,Chennai,1,358,7,459.24,97,2
Site_31,Supplier_95,Bricks,Delhi,5,92,5,187.23,48,8
Site_32,Supplier_86,Sand,Kolkata,2,116,2,233.71,160,9
Site_33,Supplier_98,Steel,Kolkata,1,483,10,307.06,75,17
Site_34,Supplier_70,Bricks,Bangalore,4,325,7,408.48,195,2
Site_35,Supplier_77,Cement,Delhi,3,222,10,283.71,83,7
Site_36,Supplier_76,Steel,Chennai,3,346,4,356.78,192,4
Site_37,Supplier_23,Cement,Chennai,3,289,9,450.5,171,5
Site_38,Supplier_92,Sand,Mumbai,5,71,1,334.8,192,18
Site_39,Supplier_67,Cement,Kolkata,3,133,7,397.4,46,7
Site_40,Supplier_47,Cement,Mumbai,1,153,1,216.15,145,10
Site_41,Supplier_64,Steel,Bangalore,3,79,5,144.9,62,7
Site_42,Supplier_69,Concrete,Kolkata,5,346,10,364.5,17,9
Site_43,Supplier_32,Cement,Mumbai,5,309,1,329.83,165,0
Site_44,Supplier_30,Steel,Chennai,1,97,12,248.2,101,12
Site_45,Supplier_76,Bricks,Bangalore,2,402,4,377.7,80,14
Site_46,Supplier_13,Bricks,Kolkata,5,370,14,123.27,154,9
Site_47,Supplier_35,Concrete,Bangalore,2,297,9,481.95,94,18
Site_48,Supplier_53,Concrete,Delhi,4,103,10,222.83,28,17
Site_49,Supplier_54,Cement,Mumbai,3,295,9,180.41,77,15
Site_50,Supplier_72,Bricks,Chennai,1,212,10,344.19,134,3
Site_51,Supplier_19,Steel,Chennai,2,96,13,413.44,44,7
Site_52,Supplier_35,Cement,Bangalore,4,305,6,317.71,184,17
Site_53,Supplier_62,Steel,Delhi,1,494,11,478.19,132,10
Site_54,Supplier_74,Cement,Chennai,4,424,11,113.55,126,15
Site_55,Supplier_73,Bricks,Bangalore,4,246,1,432.19,56,16
Site_56,Supplier_83,Steel,Delhi,1,238,9,298.06,79,10
Site_57,Supplier_84,Cement,Kolkata,5,164,4,461.01,60,10
Site_58,Supplier_15,Cement,Delhi,3,275,10,327.18,196,18
Site_59,Supplier_68,Cement,Chennai,3,278,3,296.32,177,2
Site_60,Supplier_94,Bricks,Chennai,5,74,5,264.22,29,10
Site_61,Supplier_79,Cement,Bangalore,3,216,5,122.75,184,15
Site_62,Supplier_80,Sand,Chennai,2,54,1,445.48,51,14
Site_63,Supplier_1,Bricks,Mumbai,3,413,2,302.44,194,11
Site_64,Supplier_91,Sand,Mumbai,4,83,5,339.36,142,8
Site_65,Supplier_64,Steel,Bangalore,5,225,6,101.45,12,12
Site_66,Supplier_68,Cement,Chennai,3,258,8,104.61,127,19
Site_67,Supplier_39,Cement,Chennai,2,383,8,406.3,135,5
Site_68,Supplier_30,Bricks,Mumbai,4,482,4,334.89,103,9
Site_69,Supplier_58,Bricks,Mumbai,3,58,4,481.39,103,17
Site_70,Supplier_94,Sand,Chennai,2,142,13,281.15,111,14
Site_71,Supplier_82,Concrete,Chennai,2,111,4,345.66,135,3
Site_72,Supplier_46,Bricks,Delhi,1,449,4,481.6,14,15
Site_73,Supplier_90,Cement,Bangalore,1,455,9,187.44,191,2
Site_74,Supplier_73,Bricks,Delhi,4,130,9,305.59,192,2
Site_75,Supplier_3,Sand,Delhi,2,422,3,277.61,193,18
Site_76,Supplier_83,Cement,Chennai,5,307,13,463.04,137,15
Site_77,Supplier_89,Concrete,Chennai,3,347,2,372.25,83,5
Site_78,Supplier_59,Cement,Delhi,5,440,4,146.47,100,9
Site_79,Supplier_17,Steel,Delhi,3,391,9,178.83,50,0
Site_80,Supplier_73,Sand,Delhi,5,51,6,205.58,155,18
Site_81,Supplier_83,Concrete,Kolkata,2,434,10,412.35,126,9
Site_82,Supplier_55,Cement,Chennai,3,162,3,333.23,56,15
Site_83,Supplier_3,Sand,Bangalore,5,52,11,463.42,177,16
Site_84,Supplier_3,Concrete,Delhi,1,156,14,305.4,16,6
Site_85,Supplier_12,Concrete,Chennai,2,265,7,498.89,113,7
Site_86,Supplier_66,Steel,Chennai,1,197,12,320.42,51,2
Site_87,Supplier_32,Concrete,Mumbai,1,294,3,410.15,166,5
Site_88,Supplier_22,Steel,Chennai,4,319,10,381.08,128,6
Site_89,Supplier_97,Steel,Kolkata,2,424,10,219.7,50,16
Site_90,Supplier_8,Cement,Chennai,2,100,14,257.6,43,7
Site_91,Supplier_92,Cement,Kolkata,4,319,14,438.48,13,18
Site_92,Supplier_46,Sand,Bangalore,5,355,3,459.8,42,4
Site_93,Supplier_35,Concrete,Delhi,4,70,9,444.58,164,13
Site_94,Supplier_16,Sand,Chennai,1,490,11,370.72,60,10
Site_95,Supplier_26,Cement,Chennai,1,323,9,261.05,146,10
Site_96,Supplier_39,Steel,Mumbai,1,51,8,295.19,69,18
Site_97,Supplier_77,Concrete,Delhi,1,217,5,299.02,170,12
Site_98,Supplier_89,Bricks,Mumbai,4,174,4,481.56,86,3
Site_99,Supplier_20,Sand,Delhi,5,201,14,381.97,173,0
Site_100,Supplier_13,Sand,Chennai,5,155,2,308.27,66,16
Site_101,Supplier_4,Steel,Chennai,2,416,11,171.65,53,5
Site_102,Supplier_80,Cement,Bangalore,2,471,10,130.69,29,6
Site_103,Supplier_47,Cement,Mumbai,5,326,11,165.44,34,14
Site_104,Supplier_52,Concrete,Mumbai,3,133,9,345.0,104,10
Site_105,Supplier_31,Bricks,Kolkata,4,169,1,130.64,31,14
Site_106,Supplier_86,Steel,Mumbai,3,256,11,258.22,156,14
Site_107,Supplier_63,Concrete,Chennai,2,286,12,175.35,67,2
Site_108,Supplier_25,Bricks,Kolkata,3,427,5,133.71,195,9
Site_109,Supplier_93,Steel,Delhi,5,429,2,253.84,10,5
Site_110,Supplier_66,Cement,Bangalore,2,356,3,463.33,50,16
Site_111,Supplier_21,Steel,Kolkata,3,123,2,480.66,165,4
Site_112,Supplier_92,Bricks,Delhi,4,318,11,142.62,33,11
Site_113,Supplier_57,Cement,Bangalore,5,175,5,122.81,21,1
Site_114,Supplier_86,Concrete,Delhi,5,315,7,423.09,185,13
Site_115,Supplier_38,Concrete,Kolkata,3,329,11,276.55,175,12
Site_116,Supplier_50,Concrete,Mumbai,3,389,13,458.6,138,9
Site_117,Supplier_69,Concrete,Mumbai,3,138,8,396.78,24,16
Site_118,Supplier_30,Steel,Chennai,5,163,12,401.15,65,15
Site_119,Supplier_13,Bricks,Mumbai,4,451,8,393.5,78,4
Site_120,Supplier_71,Steel,Chennai,5,105,6,152.58,198,7
Site_121,Supplier_63,Concrete,Chennai,3,240,5,290.78,15,8
Site_122,Supplier_13,Sand,Kolkata,1,325,12,390.44,183,4
Site_123,Supplier_29,Concrete,Delhi,2,326,2,133.66,68,18
Site_124,Supplier_86,Concrete,Delhi,4,243,3,210.65,79,15
Site_125,Supplier_24,Bricks,Delhi,4,452,11,306.43,69,16
Site_126,Supplier_67,Bricks,Mumbai,3,212,14,246.16,125,19
Site_127,Supplier_8,Bricks,Mumbai,1,441,1,251.74,169,5
Site_128,Supplier_76,Sand,Delhi,2,371,10,453.04,106,19
Site_129,Supplier_2,Concrete,Bangalore,1,307,9,261.79,158,5
Site_130,Supplier_16,Concrete,Delhi,2,78,7,409.45,153,6
