Supplier ID,Supplier Name,Material Type,Location,Rating,Supply Capacity (tons/month),Average Delivery Time (days),Cost per unit (INR)
SPLR1000,Supplier_0,Glass,Lucknow,2.5,354,20,3134.38
SPLR1001,Supplier_1,Bricks,Chennai,4.4,321,22,2521.27
SPLR1002,Supplier_2,Cement,Pune,2.9,981,14,4697.02
SPLR1003,Supplier_3,Glass,Delhi,2.6,127,8,1519.42
SPLR1004,Supplier_4,Electrical Wiring,Bangalore,3.0,147,14,2826.29
SPLR1005,Supplier_5,Sand,Hyderabad,3.6,257,17,4366.76
SPLR1006,Supplier_6,Electrical Wiring,Ahmedabad,4.9,384,24,3783.93
SPLR1007,Supplier_7,Electrical Wiring,Pune,3.2,383,21,4016.28
SPLR1008,Supplier_8,Tiles,Ahmedabad,2.8,838,22,4753.77
SPLR1009,Supplier_9,Plumbing Pipes,Chennai,4.8,90,18,2631.1
SPLR1010,Supplier_10,Electrical Wiring,Delhi,3.1,628,12,4749.69
SPLR1011,Supplier_11,Cement,Kolkata,4.2,995,8,1541.86
SPLR1012,Supplier_12,Bricks,Lucknow,2.7,610,4,1974.63
SPLR1013,Supplier_13,Glass,Lucknow,3.6,820,11,2671.5
SPLR1014,Supplier_14,Concrete,Delhi,2.9,836,12,2004.89
SPLR1015,Supplier_15,Electrical Wiring,Hyderabad,3.1,324,19,2785.58
SPLR1016,Supplier_16,Steel,Mumbai,3.3,817,17,1604.76
SPLR1017,Supplier_17,Plumbing Pipes,Ahmedabad,4.0,430,1,4510.32
SPLR1018,Supplier_18,Steel,Pune,4.6,926,29,3006.44
SPLR1019,Supplier_19,Glass,Hyderabad,2.6,935,13,1449.7
SPLR1020,Supplier_20,Electrical Wiring,Mumbai,3.0,141,6,4664.76
SPLR1021,Supplier_21,Cement,Jaipur,3.2,903,28,585.42
SPLR1022,Supplier_22,Sand,Jaipur,4.2,406,29,3852.66
SPLR1023,Supplier_23,Steel,Delhi,4.3,635,20,2183.08
SPLR1024,Supplier_24,Tiles,Kolkata,4.9,374,7,3362.08
SPLR1025,Supplier_25,Electrical Wiring,Delhi,2.9,555,5,3345.27
SPLR1026,Supplier_26,Concrete,Delhi,3.9,838,13,4861.06
SPLR1027,Supplier_27,Concrete,Delhi,4.3,953,15,2125.84
