Project Size (sq. m),Labor Count,Equipment Count,Avg Temperature (°C),Rainfall (mm),Milestone,Delay Duration (days),City_Bangalore,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,City_Pune,Project Type_Bridge,Project Type_Commercial,Project Type_Highway,Project Type_Industrial,Project Type_Metro,Project Type_Railway,Project Type_Residential,External Factor_Funding issues,External Factor_Land dispute,Delay Reason_Equipment failure,Delay Reason_Financial issues,Delay Reason_Labor strike,Delay Reason_Material shortage,Delay Reason_Monsoon rains,Delay Reason_No Delay,Delay Reason_Regulatory approval delay,Delay Reason_Site condition issues,Predicted Delay
45073,1212,50,19.63438366477648,151.01113237076257,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
38851,868,48,23.18134502416252,207.5523768630873,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
56770,1567,8,18.67819075227627,181.11927913577668,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5595,1820,21,28.388105943199225,242.2283592546356,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12682,847,25,39.001207195597786,499.8760782306241,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5880,1086,22,22.50230027683844,256.5807025908133,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6918,728,48,23.844641377920752,366.9695627052377,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29416,1120,34,40.11770916344757,139.30577711128845,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
52730,563,30,42.30452159863682,96.1472668624126,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
65027,287,13,25.81311295832322,205.36944831267644,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
55317,1941,22,40.56776157651155,78.47403909927469,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
68367,226,11,34.52199931701935,158.88425102043846,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
16579,268,50,41.35456752413854,242.2457556812822,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
34137,1807,22,17.19370308306677,255.3930147467128,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
97376,1180,20,34.67225144106618,24.506465431861024,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
29893,548,40,15.20796109591122,202.3037241723827,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
37244,176,10,40.942895579690486,295.4402044339763,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
29315,1125,26,35.092145313015486,241.71933331288903,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
97314,422,7,37.802132510533326,89.27696190027306,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
38761,1022,49,26.55391432141593,14.602191146803722,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
97967,1585,45,22.539925242533155,348.3150697547921,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
95485,1700,13,32.32098098540423,413.332259528207,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29075,997,21,43.172950647150174,374.2019495845616,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
10507,1743,37,41.31763354364428,329.0420466935927,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
55375,90,29,22.85871662256907,256.0137584506352,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
75135,809,12,41.89589740151438,330.9720870015938,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
88510,205,33,26.85410247070845,104.59009383721974,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
70322,254,15,31.60033768505289,291.26810940224067,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3528,1686,10,16.547329352941865,45.151713787207,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
21042,1610,20,32.7215881253761,314.30178467848697,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
72733,1656,33,31.01715807902504,36.55618662115856,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
85978,1993,47,28.1391574936221,274.4258031358794,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
32054,1802,13,39.77552187971376,313.64430181237105,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
68125,1903,32,39.550436762688165,313.4746995294996,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
55604,147,36,28.427607512614102,362.1278850917807,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
